Municipio,CodPonto,TipoRede,UGRHI,SEQID,SistHidrico,Coleta_Data,"1,1,1 - Tricloroetano","1,1,1,2 - Tetracloroetano","1,1,2 - Tricloroetano","1,1,2,2 - Tetracloroetano","1,1-Dicloro-1-Propeno","1,1-Dicloroetano","1,1-Dicloroeteno","1,2 Dicloroetano","1,2,3-Triclorobenzeno","1,2,3-Tricloropropano","1,2,4-Triclorobenzeno","1,2,4-Trimetilbenzeno","1,2-Dibromo-3-Cloropropano","1,2-Dibromoetano","1,2-Diclorobenzeno","1,2-Dicloropropano","1,3,5 Triclorobenzeno","1,3,5-Trimetilbenzeno","1,3-Diclorobenzeno","1,3-Dicloropropano","1,4-Diclorobenzeno",1-Cloro-2-Metilbenzeno,1-Cloro-4-Metilbenzeno,1-Metil-Naftaleno,"2,2-Dicloropropano",2-Clorotolueno,2-Metil-Naftaleno,4-Clorotolueno,Acenafteno,Acenaftileno,Alcalinidade Bicarbonato,Alcalinidade Carbonato,Alcalinidade Hidróxido,Alcalinidade Total,Alumínio Dissolvido,Alumínio Total,Antraceno,Arsênio Total,Benzeno,Benzo(a)antraceno,Benzo(a)pireno,Benzo(b)fluoranteno,"Benzo(g,h,i)perileno",Benzo(k)fluoranteno,Boro Total,Bromobenzeno,Bromoclorometano,Bromodiclorometano,Bromofórmio,Bário Total,Carbono Orgânico Dissolvido,Carbono Orgânico Total,Chumbo Total,Cilindrospermopsina,Cloreto Total,Cloreto de Metileno,Cloreto de vinila,Clorobenzeno,Cloroetano,Clorofila-a,Clorofórmio,Cobre Dissolvido,Cobre Total,Condutividade,Cor Verdadeira,Criseno,Crômio Total,Cádmio Total,Cálcio Total,"DBO (5, 20)",DQO,"Dibenzo(a,h)antraceno",Dibromoclorometano,Dibromometano,Dureza,Ens. Ecotoxic. c/ Vibrio fischeri,Escherichia coli**,Estireno,Etilbenzeno,Fenantreno,Fenóis Totais,Feofitina-a,Ferro Dissolvido,Ferro Total,Fluoranteno,Fluoreno,Fluoreto Total,Fósforo Total,Fósforo-Ortofosfato,Hexaclorobutadieno,"Indeno(1,2,3-cd)pireno",Isopropilbenzeno,Magnésio Total,Manganês Total,Mercúrio Total,Microcistinas,Naftaleno,Nitrogênio Amoniacal,Nitrogênio Kjeldahl,Nitrogênio-Nitrato,Nitrogênio-Nitrito,Níquel Total,Número de Células de Cianobactérias,Oxigênio Dissolvido,Pireno,Potencial de Formação de THM,Potássio,Profundidade da Coleta,Salinidade,Saxitoxina,Subst. Tensoat. reagem c/ Azul Metileno,Sulfato Total,Sódio,Sólido Dissolvido Total,Sólido Suspenso Total,Sólido Total,TA98 + S9,TA98 - S9,Temperatura da Água,Temperatura do Ar,Tetracloreto de Carbono,Tetracloroeteno,Tetracloroetileno,Tolueno,Tricloroeteno,Tricloroetileno,Triclorofluormetano,Turbidez,Zinco Total,"cis-1,2-Dicloroeteno","m,p-Xileno",n-Butilbenzeno,n-Propilbenzeno,o-Xileno,p-Isopropiltolueno,pH,sec-Butilbenzeno,terc-Butilbenzeno,"trans-1,2-Dicloroeteno",Óleos e Graxas
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,06/09/2022,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.1,0.87,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.04,,2.34,0.01,,61.1,2.5,2,2.5,,3.21,2.5,0.005,0.005,932,,0.015,0.05,0.001,86.4,,,0.015,2.5,10,279,,24000,5,2.5,0.04,,0.91,0.27,0.84,0.02,0.02,0.69,5.67,3.03,5,0.08,2.5,15.2,0.57,0.0002,,0.03,1.09,2.02,1.8,0.028,0.03,,7.94,0.02,,5.02,,1,,0.08,317,68.8,608,,728,,,20,22,2,2.5,,2,2.5,,,12.6,0.1,2.5,5,2.5,2.5,2.5,2.5,6.73,2.5,2.5,2.5,
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,09/01/2022,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.1,0.2,0.02,,2.5,0.015,0.01,0.015,0.05,0.015,,2.5,10,2.5,10,0.02,,4.5,0.02,,11.6,2.5,2,2.5,,1.34,2.5,0.005,0.005,124,,0.015,0.05,0.001,167,,,0.015,2.5,10,539,,9300,5,2.5,0.02,,1.16,0.47,0.93,0.02,0.02,0.66,14.5,12.3,5,0.05,2.5,29.7,0.85,0.0002,,0.03,1,1,1.4,0.02,0.08,,7,0.02,,7,,1,,0.08,593,35,1192,100,1228,,,22,19,2,2.5,,2,2.5,,,6.75,0.1,2.5,5,2.5,2.5,2.5,2.5,7.09,2.5,2.5,2.5,
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,12/01/2022,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,0.05,10,2.5,0.05,2.5,0.02,0.05,,,,,0.11,0.36,0.02,,2.5,0.015,0.01,0.015,0.05,0.015,,2.5,10,2.5,10,0.02,,3.9,0.01,,6.92,2.5,2,2.5,,3.05,2.5,0.005,0.005,743,,0.015,0.05,0.001,100,,,0.015,2.5,10,324,,4200,5,2.5,0.02,,0.95,0.33,0.65,0.02,0.02,0.47,12.7,10.6,5,0.05,2.5,18,0.4,0.0002,,0.03,1,1,1.11,0.033,0.03,,7.3,0.02,,4.24,,1,,0.08,307,18.6,748,100,760,,,24,26,2,2.5,,2,2.5,,,6.45,0.1,2.5,5,2.5,2.5,2.5,2.5,6.61,2.5,2.5,2.5,
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,03/08/2023,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,0.24,,0.21,0.05,,,,,0.15,0.5,0.06,,,0.022,0.01,0.054,0.05,0.015,,,,,,0.02,,11.8,0.02,,7.14,,,,,2.21,,0.005,0.005,750,,0.061,0.05,0.001,98,,,0.015,,,303,,7200,,,0.62,,1.5,0.88,1.6,0.14,0.2,0.74,5.33,3.91,,0.05,,14,0.63,0.0002,,0.5,1,1,1.08,0.023,0.04,,6.9,0.16,,4.7,,1,,0.08,326,21.4,716,,702,,,23,36,,,,,,,,10.2,0.1,,,,,,,6.35,,,,10
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,06/13/2023,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.43,1.14,0.02,,,0.015,0.01,0.024,0.05,0.015,,,,,,0.07,,22.8,0.01,,13.4,,,,,9.98,,0.009,0.009,719,,0.023,0.05,0.001,96.7,,,0.015,,,302,,18000,,,0.06,,3.49,0.7,2.35,0.05,0.02,1.68,9.48,6.5,,0.05,,14.8,0.84,0.0002,,0.03,2.26,3.24,1.64,0.18,0.06,,4.9,0.07,,8.16,,1,,0.21,295,20.1,690,,772,,,23,20,,,,,,,,65.2,0.12,,,,,,,6.39,,,,10
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,09/12/2023,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.11,0.43,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,5.8,0.01,,9.49,,,,,1.69,,0.005,0.005,772,,0.015,0.05,0.001,99,,,0.015,,,319,,20000,,,0.06,,1.5,0.59,1.25,0.04,0.02,1.09,5.48,4.83,,0.05,,17.4,0.74,0.0002,,0.06,1.04,1.37,1.09,0.031,0.03,,4.7,0.04,,7.32,,1,,0.08,340,25.7,750,,780,,,28,27,,,,,,,,9.18,0.14,,,,,,,6.93,,,,10
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,12/05/2023,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,0.14,,0.05,0.05,,,,,0.23,0.47,0.02,,,0.017,0.01,0.015,0.05,0.015,,,,,,0.03,,5,0.01,,8.11,,,,,1.5,,0.005,0.005,674,,0.019,0.05,0.001,99.8,,,0.015,,,302,,10900,,,0.19,,1.5,0.46,0.81,0.11,0.04,0.93,7.52,4.67,,0.05,,13,0.61,0.0002,,0.12,1,2.36,1.08,0.029,0.03,,4.4,0.09,,5.88,,1,,0.08,274,21.4,546,,670,,,29,32,,,,,,,,9.36,0.1,,,,,,,6.49,,,,10
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,03/12/2024,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.16,0.64,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.02,,4.2,0.01,,6.99,,,,,1.5,,0.005,0.005,591,,0.015,0.05,0.001,75.3,,,0.015,,,233,,12100,,,0.02,,1.5,0.4,0.86,0.02,0.02,0.76,4.7,3.74,,0.05,,11,0.57,0.0002,,0.03,1,1,1.26,0.024,0.04,,7.5,0.02,,3.85,,1,,0.19,232,15.4,486,,504,,,26,27,,,,,,,,10.3,0.1,,,,,,,6.33,,,,10
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,05/08/2024,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.14,0.33,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.03,,4.8,0.04,,10.9,,,,,1.5,,0.005,0.005,1000,,0.015,0.05,0.001,138,,,0.015,,,465,,33000,,,0.02,,1.5,0.32,0.77,0.02,0.02,0.48,15.5,14.9,,0.05,,29.1,0.6,0.0002,,0.03,1,1.79,1.49,0.046,0.06,,5.6,0.02,,6.46,,1,,0.16,1020,27.7,1120,,1280,,,30,27,,,,,,,,15.4,0.13,,,,,,,6.83,,,,10
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,09/17/2024,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.09,,0.03,0.05,,,,,0.19,0.89,0.02,,,0.015,0.01,0.015,0.05,0.015,,,,,,0.04,,15.4,0.02,,12.1,,,,,3.27,,0.005,0.005,639,,0.015,0.05,0.001,84.6,,,0.015,,,262,,4100,,,0.03,,1.5,0.41,1.52,0.02,0.03,1.63,9.42,8.16,,0.05,,12.4,0.5,0.0001,,0.03,1,1.15,2.25,0.052,0.03,,7.2,0.03,,6.08,,0.31,,0.25,239,19.3,580,,720,,,22,22,,,,,,,,19.9,0.1,,,,,,,6.17,,,,10
CUBATAO,PIAC02700,Rede Básica,07 - BAIXADA SANTISTA,210,Rio Piaçaguera - PIAC,12/10/2024,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,1.36,,0.34,0.05,,,,,0.18,0.65,0.03,,,0.027,0.03,0.028,0.05,0.037,,,,,,0.04,,11.3,0.03,,9.18,,,,,1.55,,0.005,0.005,588,,0.101,0.05,0.001,73.8,,,0.015,,,235,,17000,,,0.18,,1.5,0.49,1.32,0.11,0.18,1.08,17.1,12.4,,0.05,,12.3,0.65,0.0002,,1.54,1.55,1.78,2.28,0.057,0.04,,0.3,0.1,,5.67,,0.28,,0.18,235,15.8,494,,612,,,26,26,,,,,,,,12.6,0.1,,,,,,,5.85,,,,10
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,01/27/2016,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,0.02,,,,,,0.05,0.236,0.02,,2.5,0.02,0.01,0.02,0.08,0.01,,2.5,10,2.5,10,0.1,,21.9,0.01,,8100,2.5,2.5,2.5,,331.45,2.5,0.005,0.005,23100,,0.02,0.01,0.005,,5,,0.03,2.5,10,,81.9,290000,5,2.5,0.02,,36.22,0.165,0.385,0.02,0.02,,0.084,,5,0.08,2.5,,0.086,0.0002,,0.04,4.2,7.7,0.2,0.01,0.01,,1.1,0.02,,229,,14,,0.7,,4765,15000,,16100,,,26.5,27.2,2,2.5,,2,2.5,,,29.6,0.019,2.5,5,2.5,2.5,2.5,2.5,7.06,2.5,2.5,2.5,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,03/15/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,1850,,,,,,,,,9840,,,,,,5,,,,,,,420000,,,,,,,,,,,1.22,,,,,,,,,,6.3,8,0.2,0.01,,,1,,,,,5.6,,,,,3650,,4100,,,25.9,28.3,,,,,,,,18.5,,,,,,,,7.17,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,05/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.054,0.762,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,,9.73,0.01,,5300,,,,,38.09,,0.005,0.005,16300,,0.015,0.01,0.005,,8,,0.015,,,,81.9,370000,,10,0.02,,4.48,0.114,0.483,0.02,0.02,,0.63,,,0.08,,,0.097,0.0002,,0.06,4.1,4.3,0.2,0.01,0.01,,1.5,0.02,,190,,9.6,,0.45,,3030,9660,,10900,,,22.8,22.1,,,,10,,,,15,0.024,,,,,10,,6.89,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,07/19/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.05,0.12,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,,9.79,0.01,,4360,,,,,148.35,,0.005,0.005,12600,,0.015,0.01,0.005,,18,,0.015,,,,81.9,320000,,10,0.02,,3.21,0.092,0.28,0.02,0.02,,0.93,,,0.08,,,0.14,0.0002,,0.05,7.5,9.6,0.2,0.083,0.01,,1.4,0.02,,109,,8.2,,0.48,,2920,9900,,11000,,,17.4,19.6,,,,10,,,,20.7,0.01,,,,,10,,6.98,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,09/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,7480,,,,,,,,,22500,,,,,,,,,,,,,220000,,,,,,,,,,,0.77,,,,,,,,,,5.3,6.9,0.2,0.01,,,3.2,,,,,13.9,,,,,16800,,20000,,,20.6,21,,,,,,,,12.9,,,,,,,,6.81,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,11/29/2016,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,0.02,,,,,,0.05,0.27,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,19.2,0.01,,3020,2.5,2.5,2.5,,67.72,2.5,0.005,0.005,9050,,0.015,0.01,0.005,,18,,0.015,2.5,10,,81.9,430000,5,2.5,0.02,,8.38,0.12,0.65,0.02,0.02,,1.34,,5,0.08,2.5,,0.14,0.0002,,0.05,6.2,7,0.2,0.013,0.01,,1.5,0.02,,83.4,,5.1,,0.79,,2080,5920,,6960,,,24.3,27.2,2,2.5,,2,2.5,,,26,0.027,2.5,5,2.5,2.5,2.5,2.5,6.12,2.5,2.5,2.5,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,01/25/2017,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1,,0.05,,0.02,0.05,,,,,0.051,0.19,0.02,,1,0.015,0.01,0.015,0.08,0.015,,1,1,1,1,0.1,11.7,13.7,0.01,,3300,1,1,1,,12.7,3,0.005,0.005,10100,,0.015,0.01,0.005,87,20,,0.015,1,1,1130,81.9,360000,1,1,0.02,,1.8,0.33,0.48,0.02,0.02,0.5,0.79,,1,0.08,1,221,0.19,0.0002,,0.03,4.3,5.3,,0.01,0.01,,1,0.02,,76.7,,5.8,,0.6,454,2190,7860,,7890,,,26.5,28.8,1,,1,1,,1,,16.3,0.01,1,1,1,1,1,1,6.67,1,1,1,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,03/22/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,13.2,,,3890,,,,,,,,,12000,,,,,,14,,,,,,,330000,,,,,,,,,,0.5,0.73,,,,,,,,,,4.1,5.1,,0.01,,,1,,,,,6.8,,,558,,7670,,7860,,,24.4,26.4,,,,,,,,17,,,,,,,,6.71,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,05/17/2017,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.05,0.1,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,6.56,16.3,0.01,,6460,,,,,207.16,,0.005,0.005,18700,,0.015,0.01,0.001,130,14,,0.015,,,2050,81.9,290000,,10,0.02,,0.48,0.067,0.27,0.02,0.02,0.57,0.48,,,0.08,,418,0.079,0.001,,0.07,5.9,6.2,,0.01,0.01,,1,0.02,,156,,11.1,,0.87,1040,3733,11800,,12800,,,23.3,24.7,,,,10,,,,12.6,0.01,,,,,10,,6.9,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,07/19/2017,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.05,0.19,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,5.03,10.5,0.01,,10700,,,,,24.59,,0.005,0.006,41800,,0.015,0.01,0.001,281,6,,0.015,,,3220,81.9,230000,,10,0.02,,7.97,0.05,0.24,0.02,0.02,0.67,0.59,,,0.08,,613,0.095,0.001,,0.03,3.5,5,,0.015,0.01,,2.2,0.02,,301,,19.4,,1.08,1490,6700,20000,,20000,,,20.2,17.4,,,,10,,,,10.7,0.01,,,,,10,,7.32,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,09/13/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,18.3,,,11300,,,,,,,,,35900,,,,,,19,,,,,,,23000,,,,,,,,,,0.59,0.74,,,,,,,,,,4.1,7.9,,0.01,,,12.4,,,,,20.5,,,1460,,20000,,20000,,,25.2,27.4,,,,,,,,16,,,,,,,,8.16,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,11/29/2017,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.05,,,0.05,,0.02,0.05,,,,,0.1,0.2,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.02,6.73,13.9,0.01,,9250,2.5,2.5,2.5,,116.54,3.45,0.005,0.005,30600,,0.015,0.05,0.001,166,10,,0.015,2.5,10,954,81.9,82000,5,2.5,0.02,,14.43,0.3,0.3,0.02,0.02,0.83,0.6,,5,0.08,2.5,131,0.1,0.0001,,0.03,3.5,4.5,,0.01,0.02,,2.3,0.02,,195,,16.4,,0.77,1300,5265,17300,,20000,,,24.9,28.1,2,2.5,,2,2.5,,,23.1,0.1,2.5,5,2.5,2.5,2.5,2.5,7.29,2.5,2.5,2.5,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,01/17/2018,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.05,,,0.05,,0.02,0.05,,,,,0.078,0.18,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,9.85,17.2,0.01,,3270,2.5,2.5,2.5,,39.03,4.54,0.005,0.005,12000,,0.015,0.01,0.001,98.5,16,,0.015,2.5,10,1140,81.9,890000,5,2.5,0.02,,1.5,0.3,0.46,0.02,0.02,0.5,1,,5,0.08,2.5,217,0.22,0.001,,0.04,7.5,9.6,,0.01,0.01,,1,0.02,,71.2,,6,,0.78,463,1990,6290,,7090,,,27.8,36.8,2,2.5,,2,2.5,,,21.8,0.01,2.5,5,2.5,2.5,2.5,2.5,7.55,2.5,2.5,2.5,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,03/21/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54,13.1,,,3300,,,,,,,,,12000,,,,,,10,,,,,,,61000,,,,,,,,,,0.67,0.81,,,,,,,,,,1,1.1,,0.01,,,1,,,,,6.4,,,423,,6490,,7540,,,26.6,27.2,,,,,,,,11,,,,,,,,6.78,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,05/23/2018,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.005,0.094,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,7.32,11.5,0.01,,5950,,,,,24.06,,0.005,0.005,22300,,0.015,0.01,0.001,140,13,,0.015,,,2160,81.9,31000,,10,0.05,,1.5,0.12,0.19,0.02,0.02,0.63,0.75,,,0.08,,439,0.062,0.001,,0.06,7.7,9.3,,0.01,0.01,,1.7,0.02,,199,,11.3,,1.52,2290,3450,10700,,11900,,,21.5,25.4,,,,10,,,,33,0.01,,,,,10,,6.57,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,07/30/2018,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.05,0.12,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,7.08,15.9,0.01,,5210,,,,,91.9,,0.005,0.005,21900,,0.015,0.01,0.001,152,10,,0.015,,,1990,81.9,67000,,10,0.02,,1.5,0.3,0.36,0.02,0.02,0.64,1.1,,,0.08,,391,0.08,0.001,,0.03,7.59,9.79,,0.01,0.01,,1,0.02,,146,,10.7,,0.98,769,3200,11400,,12600,,,21.6,23.2,,,,10,,,,12.1,0.01,,,,,10,,6.9,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,09/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92,21.2,,,3100,,,,,,,,,12743,,,,,,24,,,,,,,830000,,,,,,,,,,0.62,1.38,,,,,,,,,,10.3,10.5,,0.01,,,1,,,,,5.61,,,448,,5400,,6030,,,22.1,25.3,,,,,,,,27.4,,,,,,,,7.22,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,11/21/2018,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.05,0.23,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,9.91,14.7,0.01,,1750,,,,,21.3,,0.005,0.005,6167,,0.015,0.01,0.001,50.2,10,,0.015,,,483,81.9,84000,5,2.5,0.02,,1.5,0.24,0.44,0.02,0.02,0.5,1.29,,,0.08,,86.9,0.14,0.001,,0.03,4.52,6.11,,0.01,0.01,,7.3,0.02,,49.2,,3.34,,0.33,286,593,2440,,2850,,,22.5,23.4,,,,2,,,,6.99,0.046,,5,,,2.5,,7.27,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,01/22/2019,2.5,2.5,10,2.5,2.5,2.5,5,5,2.5,10,5,2.5,,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.05,10,,0.05,,0.02,0.05,,,,,0.05,0.2,0.02,,2.5,0.015,0.01,0.015,0.08,0.015,,2.5,10,2.5,10,0.1,,14.6,0.01,,1460,2.5,2,2.5,,3.56,2.5,0.005,0.005,5490,,0.015,0.01,0.001,53,8,,0.015,2.5,10,540,81.9,400000,5,2.5,0.02,,2.26,0.28,0.49,0.02,0.02,0.5,0.69,,5,0.08,2.5,99.1,0.21,0.0001,,0.03,3.17,4.42,,0.01,0.01,,1.2,0.02,,47.2,,2.68,,0.7,236,717,2860,,3070,,,29.8,32.4,2,2.5,,2,2.5,,,12.8,0.01,2.5,5,2.5,2.5,2.5,2.5,7.03,2.5,2.5,2.5,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,03/07/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,2070,,,,,,,,,680,,,,,,9,,,,,,,420000,,,,,,,,,,0.5,0.9,,,,,,,,,,5.01,6.72,,0.01,,,1.7,,,,,3.7,,,338,,3760,,4330,,,28.4,33.4,,,,,,,,15.7,,,,,,,,6.96,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,05/28/2019,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.05,0.087,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,,9.7,0.01,,3370,,,,,15.15,,0.005,0.005,5440,,0.015,0.01,0.001,60.3,12,,0.015,,,1000,81.9,1,,10,0.02,,1.69,0.27,0.4,0.02,0.02,0.5,0.74,,,0.08,,206,0.072,0.0001,,0.06,5.48,7.01,,0.01,0.01,,2.7,0.02,,66.5,,6.26,,0.86,469,1500,6140,,7660,,,21.5,22.8,,,,10,,,,15.1,0.015,,,,,10,,6.91,,,,
GUARUJA,MARO22800,Rede Básica,07 - BAIXADA SANTISTA,2230,Rio Santo Amaro - MARO,07/11/2019,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,0.02,0.05,,,,,0.05,0.05,0.02,,10,0.015,0.01,0.015,0.08,0.015,,,,,,0.1,,9.2,0.01,,6440,,,,,28.07,,0.005,0.005,19070,,0.015,0.01,0.001,147,13,,0.015,,,2200,81.9,210000,,10,0.02,,1.87,0.05,0.22,0.02,0.02,0.5,0.6,,,0.08,,446,0.059,0.0001,,0.03,3.28,3.99,,0.015,0.01,,2.8,0.02,,161,,12.2,,0.37,892,3730,11200,,13400,,,21.8,23.4,,,,10,,,,12.3,0.01,,,,,10,,6.91,,,,
